Contract A,Contract B,Similarity
TransparentUpgradeableProxy_0x5aea.sol,TransparentUpgradeableProxy_0xf668.sol,99.2
ERC1967Proxy_0x09c3.sol,ERC1967Proxy_0xf4e1.sol,99.2
TransparentUpgradeableProxy_0xf668.sol,TransparentUpgradeableProxy_0xbca3.sol,99.2
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x604d.sol,99.2
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0xf668.sol,99.2
TransparentUpgradeableProxy_0xd72a.sol,TransparentUpgradeableProxy_0xf668.sol,99.2
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x6874.sol,99.2
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0xf668.sol,99.2
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0xb2ec.sol,99.18
SaharaToken_0xfdff.sol,PeerToken_0x87ac.sol,99.18
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x3d90.sol,99.14
TransparentUpgradeableProxy_0x5aea.sol,ERC1967Proxy_0x604d.sol,99.13
TransparentUpgradeableProxy_0xd72a.sol,ERC1967Proxy_0x604d.sol,99.13
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0x423d.sol,99.13
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0x604d.sol,99.13
ERC1967Proxy_0x423d.sol,TransparentUpgradeableProxy_0xbca3.sol,99.13
TransparentUpgradeableProxy_0xbca3.sol,ERC1967Proxy_0x604d.sol,99.13
ERC1967Proxy_0x423d.sol,TransparentUpgradeableProxy_0x5aea.sol,99.13
ERC1967Proxy_0x423d.sol,TransparentUpgradeableProxy_0xd72a.sol,99.13
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0x423d.sol,99.13
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0x604d.sol,99.13
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x3d90.sol,99.12
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0x3d90.sol,99.12
TransparentUpgradeableProxy_0xda9c.sol,TransparentUpgradeableProxy_0x3d90.sol,99.12
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x3d90.sol,99.12
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x6874.sol,99.06
TransparentUpgradeableProxy_0xda9c.sol,TransparentUpgradeableProxy_0xf668.sol,99.06
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0xf668.sol,99.06
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0xf668.sol,99.06
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0xf668.sol,99.06
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x5aea.sol,99.05
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0xd72a.sol,99.05
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0x1a88.sol,99.05
ERC1967Proxy_0x423d.sol,VaultProxy_0x0e60.sol,99.05
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0x1a88.sol,99.05
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0xbca3.sol,99.05
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x1c47.sol,99.01
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0xb2ec.sol,99.0
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0x604d.sol,98.99
TransparentUpgradeableProxy_0x6874.sol,ERC1967Proxy_0x604d.sol,98.99
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0xebf6.sol,98.98
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0xee7a.sol,98.98
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0x445f.sol,98.98
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x5aea.sol,98.97
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0xd72a.sol,98.97
TransparentUpgradeableProxy_0xd72a.sol,ERC1967Proxy_0x445f.sol,98.97
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0xee7a.sol,98.97
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x5aea.sol,98.97
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0xbca3.sol,98.97
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xd72a.sol,98.97
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xbca3.sol,98.97
ZKPToken_0xe1be.sol,PeerToken_0x87ac.sol,98.97
TransparentUpgradeableProxy_0xbca3.sol,ERC1967Proxy_0x445f.sol,98.97
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0xebf6.sol,98.97
TransparentUpgradeableProxy_0x5aea.sol,ERC1967Proxy_0x445f.sol,98.97
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0x445f.sol,98.97
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0xee7a.sol,98.97
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0x445f.sol,98.97
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0xebf6.sol,98.97
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0xb2ec.sol,98.96
TransparentUpgradeableProxy_0xd72a.sol,ERC1967Proxy_0xb2ec.sol,98.96
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0xb2ec.sol,98.96
TransparentUpgradeableProxy_0xbca3.sol,ERC1967Proxy_0xb2ec.sol,98.96
TransparentUpgradeableProxy_0x5aea.sol,ERC1967Proxy_0xb2ec.sol,98.96
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x604d.sol,98.95
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x5c7b.sol,98.95
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x423d.sol,98.95
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xda9c.sol,98.95
TransparentUpgradeableProxy_0xda9c.sol,ERC1967Proxy_0x604d.sol,98.95
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x2e51.sol,98.95
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x7623.sol,98.95
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0x423d.sol,98.95
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0x604d.sol,98.95
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0x604d.sol,98.95
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0x423d.sol,98.95
TransparentUpgradeableProxy_0xda9c.sol,ERC1967Proxy_0x423d.sol,98.95
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x1a88.sol,98.94
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0x5c7b.sol,98.94
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0x1a88.sol,98.94
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0xda9c.sol,98.94
PeerToken_0x87ac.sol,OperatorRewarder_0x6613.sol,98.91
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x6c96.sol,98.9
ERC1967Proxy_0xee7a.sol,VaultProxy_0x0e60.sol,98.88
VaultProxy_0x0e60.sol,ERC1967Proxy_0x445f.sol,98.88
ERC1967Proxy_0xebf6.sol,VaultProxy_0x0e60.sol,98.88
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xf4e1.sol,98.87
SaharaToken_0xfdff.sol,DelegationManager_0xdb9b.sol,98.86
TransparentUpgradeableProxy_0xf668.sol,VaultProxy_0x0e60.sol,98.85
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0xb2ec.sol,98.83
