Contract A,Contract B,Similarity,Size A,Size B
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0xfaf1.sol,80.42,35097,40127
TransparentUpgradeableProxy_0xf668.sol,TransparentUpgradeableProxy_0xec53.sol,80.42,40127,35070
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0xf668.sol,80.42,35097,40127
ERC1967Proxy_0xfaf1.sol,TransparentUpgradeableProxy_0xec53.sol,80.42,40127,35070
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xfaf1.sol,80.42,35097,40127
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0xf668.sol,80.42,35070,40127
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xf668.sol,80.42,35097,40127
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0xfaf1.sol,80.42,35070,40127
BeaconProxy_0x74a0.sol,PProxy_0x4c17.sol,80.34,23776,22504
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0xee7a.sol,80.34,40825,26631
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x328f.sol,80.34,26631,40825
